FANN_KEY;FDIP_CODE;FGRA_CODE;FHAB_NIVEAU;MPAR_CODE;FORMATION;FSPN_KEY;MIN_HEURES_PRESENTIEL;MAX_HEURES_PRESENTIEL;MIN_HEURES_PRESENTIEL_EQTD;MAX_HEURES_PRESENTIEL_EQTD;MOY_HEURES_PRESENTIEL;MOY_HEURES_EQTD_PRESENTIEL;MOY_HP_FORMATION;MOY_HP_FORMATION_T5T7;MOY_HP_EQTD_FORMATION;MOY_HP_EQTD_FORMATION_T5T7;MIN_HP_PARCOURS;MAX_HP_PARCOURS;MIN_HP_PARCOURS_1;MAX_HP_PARCOURS_1;MIN_HP_NIVEAU;MAX_HP_NIVEAU;MIN_HP_FORMATION;MAX_HP_FORMATION;MIN_HP_EQTD_NIVEAU;MAX_HP_EQTD_NIVEAU;MIN_HP_EQTD_FORMATION;MAX_HP_EQTD_FORMATION
2021;2x00001;L;3;1;LEA Anglais-Espagnol-TREC5 ;729;226;518;231.33;572.33;372;401.83;1234;1234;1390.5;1390.5;226;234;226;518;226;234;1230;1238;231.33;243.33;1379;1402
2021;2x00001;L;1;1;LEA Anglais-Espagnol-TREC7 ;730;368;532;445.67;641.67;450;543.67;1234;1234;1390.5;1390.5;368;368;368;532;368;368;1230;1238;445.67;445.67;1379;1402
2021;2x00001;L;2;1;LEA Anglais-Espagnol-TREC7 ;730;352;472;384;517;412;450.5;1234;1234;1390.5;1390.5;352;352;352;472;352;352;1230;1238;384;384;1379;1402
2021;2x00001;L;3;1;LEA Anglais-Espagnol-TREC7 ;730;226;518;231.33;572.33;372;401.83;1234;1234;1390.5;1390.5;510;518;226;518;510;518;1230;1238;549.33;572.33;1379;1402
2021;2x00002;L;1;1;LEA Anglais-Japonais TREC5 ;735;356;554;426.67;656.67;455;541.67;1286;1286;1432;1432;554;554;356;554;554;554;1268;1304;656.67;656.67;1407;1457
2021;2x00002;L;2;1;LEA Anglais-Japonais TREC5 ;735;384;480;416;518;432;467;1286;1286;1432;1432;464;480;384;480;464;480;1268;1304;491;518;1407;1457
2021;2x00002;L;3;1;LEA Anglais-Japonais TREC5 ;735;250;564;259.33;614.33;407;436.83;1286;1286;1432;1432;250;270;250;564;250;270;1268;1304;259.33;282.33;1407;1457
2021;2x00002;L;1;1;LEA Anglais-Japonais TREC7 ;736;356;554;426.67;656.67;455;541.67;1286;1286;1432;1432;356;356;356;554;356;356;1268;1304;426.67;426.67;1407;1457
2021;2x00002;L;2;1;LEA Anglais-Japonais TREC7 ;736;384;480;416;518;432;467;1286;1286;1432;1432;384;384;384;480;384;384;1268;1304;416;416;1407;1457
2021;2x00002;L;3;1;LEA Anglais-Japonais TREC7 ;736;250;564;259.33;614.33;407;436.83;1286;1286;1432;1432;528;564;250;564;528;564;1268;1304;564.33;614.33;1407;1457
2021;2x00003;L;1;1;LETTRES TREC5 ;739;394;646;464.67;779.67;520;622.17;1469;1469;1757.75;1757.75;646;646;394;646;646;646;1454;1484;779.67;779.67;1732;1783.5
2021;2x00003;L;2;1;LETTRES TREC5 ;739;444;578;525;692.5;511;608.75;1469;1469;1757.75;1757.75;548;578;444;578;548;578;1454;1484;641;692.5;1732;1783.5
2021;2x00003;L;3;1;LETTRES TREC5 ;739;260;646;311.33;793.83;453;552.58;1469;1469;1757.75;1757.75;260;260;260;646;260;260;1454;1484;311.33;311.33;1732;1783.5
2021;2x00003;L;1;1;LETTRES TREC7 ;740;394;646;464.67;779.67;520;622.17;1469;1469;1757.75;1757.75;394;394;394;646;394;394;1454;1484;464.67;464.67;1732;1783.5
2021;2x00003;L;2;1;LETTRES TREC7 ;740;444;578;525;692.5;511;608.75;1469;1469;1757.75;1757.75;444;444;444;578;444;444;1454;1484;525;525;1732;1783.5
2021;2x00003;L;3;1;LETTRES TREC7 ;740;260;646;311.33;793.83;453;552.58;1469;1469;1757.75;1757.75;616;646;260;646;616;646;1454;1484;742.33;793.83;1732;1783.5
2021;2x00004;L;1;1;LLCER ANGLAIS TREC5 ;743;360;508;380;556;434;468;1402.5;1402.5;1573.83;1573.83;508;508;360;508;508;508;1388;1417;556;556;1552.33;1595.33
2021;2x00004;L;2;1;LLCER ANGLAIS TREC5 ;743;356;597;402;677;476.5;539.5;1402.5;1402.5;1573.83;1573.83;568;597;356;597;568;597;1388;1417;634;677;1552.33;1595.33
2021;2x00004;L;3;1;LLCER ANGLAIS TREC5 ;743;312;701;362.33;813.33;506.5;587.83;1402.5;1402.5;1573.83;1573.83;312;312;312;701;312;312;1388;1417;362.33;362.33;1552.33;1595.33
2021;2x00004;L;1;1;LLCER ANGLAIS TREC7 ;745;360;508;380;556;434;468;1402.5;1402.5;1573.83;1573.83;360;360;360;508;360;360;1388;1417;380;380;1552.33;1595.33
2021;2x00004;L;2;1;LLCER ANGLAIS TREC7 ;745;356;597;402;677;476.5;539.5;1402.5;1402.5;1573.83;1573.83;356;356;356;597;356;356;1388;1417;402;402;1552.33;1595.33
2021;2x00004;L;3;1;LLCER ANGLAIS TREC7 ;745;312;701;362.33;813.33;506.5;587.83;1402.5;1402.5;1573.83;1573.83;672;701;312;701;672;701;1388;1417;770.33;813.33;1552.33;1595.33
2021;2x00005;L;1;1;LLCER LCO TREC5 ;748;350;574;418.67;690.67;462;554.67;1422.5;1422.5;1673.5;1673.5;574;574;350;574;574;574;1408;1437;690.67;690.67;1652;1695
2021;2x00005;L;2;1;LLCER LCO TREC5 ;748;440;603;500;693;521.5;596.5;1422.5;1422.5;1673.5;1673.5;574;603;440;603;574;603;1408;1437;650;693;1652;1695
2021;2x00005;L;3;1;LLCER LCO TREC5 ;748;260;647;311.33;776.33;453.5;543.83;1422.5;1422.5;1673.5;1673.5;260;260;260;647;260;260;1408;1437;311.33;311.33;1652;1695
2021;2x00005;L;1;1;LLCER LCO TREC7 ;750;350;574;418.67;690.67;462;554.67;1422.5;1422.5;1673.5;1673.5;350;350;350;574;350;350;1408;1437;418.67;418.67;1652;1695
2021;2x00005;L;2;1;LLCER LCO TREC7 ;750;440;603;500;693;521.5;596.5;1422.5;1422.5;1673.5;1673.5;440;440;440;603;440;440;1408;1437;500;500;1652;1695
2021;2x00005;L;3;1;LLCER LCO TREC7 ;750;260;647;311.33;776.33;453.5;543.83;1422.5;1422.5;1673.5;1673.5;618;647;260;647;618;647;1408;1437;733.33;776.33;1652;1695
2021;2x00011;L;1;3;Math-TREC5  - Parcours CUPGE;747;402;693;446.67;839.67;547.5;643.17;1611;1661.67;1930;1968.33;693;693;402;693;693;693;1611;1611;839.67;839.67;1930;1930
2021;2x00011;L;2;3;Math-TREC5  - Parcours CUPGE;747;482;750;563.67;879;616;721.34;1611;1661.67;1930;1968.33;644;644;482;750;644;644;1611;1611;779;779;1930;1930
2021;2x00011;L;3;3;Math-TREC5  - Parcours CUPGE;747;272;808;311.33;969.33;540;640.33;1611;1661.67;1930;1968.33;274;274;272;808;274;274;1611;1611;311.33;311.33;1930;1930
2021;2x00011;L;1;2;Math-TREC5  - Parcours Mathématiques;747;402;693;446.67;839.67;547.5;643.17;1687;1661.67;1987.5;1968.33;668;680;402;693;668;680;1670;1704;772.33;816;1951.67;2023.33
2021;2x00011;L;2;2;Math-TREC5  - Parcours Mathématiques;747;482;750;563.67;879;616;721.34;1687;1661.67;1987.5;1968.33;730;750;482;750;730;750;1670;1704;854;879;1951.67;2023.33
2021;2x00011;L;3;2;Math-TREC5  - Parcours Mathématiques;747;272;808;311.33;969.33;540;640.33;1687;1661.67;1987.5;1968.33;272;274;272;808;272;274;1670;1704;325.33;328.33;1951.67;2023.33
2021;2x00011;L;1;1;Math-TREC7 ;749;402;693;446.67;839.67;547.5;643.17;1687;1661.67;1987.5;1968.33;402;410;402;693;402;410;1670;1704;446.67;484;1951.67;2023.33
2021;2x00011;L;2;1;Math-TREC7 ;749;482;750;563.67;879;616;721.34;1687;1661.67;1987.5;1968.33;482;486;482;750;482;486;1670;1704;563.67;570;1951.67;2023.33
2021;2x00011;L;3;1;Math-TREC7 ;749;272;808;311.33;969.33;540;640.33;1687;1661.67;1987.5;1968.33;786;808;272;808;786;808;1670;1704;941.33;969.33;1951.67;2023.33
2021;2x00012;L;1;3;Physique, Chimie-TREC5  - Parcours CUPGE;751;388;679;467.33;805.67;533.5;636.5;1578;1597.33;1835.67;1824.89;677;677;388;679;677;677;1578;1578;805.67;805.67;1835.67;1835.67
2021;2x00012;L;2;3;Physique, Chimie-TREC5  - Parcours CUPGE;751;499;689;548;761.67;594;654.84;1578;1597.33;1835.67;1824.89;632;632;499;689;632;632;1578;1578;755;755;1835.67;1835.67
2021;2x00012;L;3;3;Physique, Chimie-TREC5  - Parcours CUPGE;751;246;713;275;800.33;479.5;537.67;1578;1597.33;1835.67;1824.89;269;269;246;713;269;269;1578;1578;275;275;1835.67;1835.67
2021;2x00012;L;1;2;Physique, Chimie-TREC5  - Parcours Physique-Chimie;751;388;679;467.33;805.67;533.5;636.5;1607;1597.33;1819.5;1824.89;665;679;388;679;665;679;1600;1614;775.67;783.33;1815.67;1823.33
2021;2x00012;L;2;2;Physique, Chimie-TREC5  - Parcours Physique-Chimie;751;499;689;548;761.67;594;654.84;1607;1597.33;1819.5;1824.89;689;689;499;689;689;689;1600;1614;761.67;761.67;1815.67;1823.33
2021;2x00012;L;3;2;Physique, Chimie-TREC5  - Parcours Physique-Chimie;751;246;713;275;800.33;479.5;537.67;1607;1597.33;1819.5;1824.89;246;246;246;713;246;246;1600;1614;278.33;278.33;1815.67;1823.33
2021;2x00015;L;1;1;Physique, Chimie-TREC5 - PARCOURS LAS ;864;661;661;852.17;852.17;661;852.17;661;661;852.17;852.17;661;661;661;661;661;661;661;661;852.17;852.17;852.17;852.17
2021;2x00012;L;1;1;Physique, Chimie-TREC7 ;752;388;679;467.33;805.67;533.5;636.5;1607;1597.33;1819.5;1824.89;388;402;388;679;388;402;1600;1614;467.33;475;1815.67;1823.33
2021;2x00012;L;2;1;Physique, Chimie-TREC7 ;752;499;689;548;761.67;594;654.84;1607;1597.33;1819.5;1824.89;499;499;499;689;499;499;1600;1614;548;548;1815.67;1823.33
2021;2x00012;L;3;1;Physique, Chimie-TREC7 ;752;246;713;275;800.33;479.5;537.67;1607;1597.33;1819.5;1824.89;713;713;246;713;713;713;1600;1614;800.33;800.33;1815.67;1823.33
2021;2101844;L;1;1;SVT - parcours environnement ;713;396;396;479.33;479.33;396;479.33;396;396;479.33;479.33;396;396;396;396;396;396;396;396;479.33;479.33;479.33;479.33
2021;2x00013;L;1;1;SVT TREC5 ;753;367;649;413.33;744.33;508;578.83;1626.5;1626.5;1841.84;1841.84;649;649;367;649;649;649;1597;1656;744.33;744.33;1797;1886.67
2021;2x00013;L;2;1;SVT TREC5 ;753;491;673;559;773.33;582;666.17;1626.5;1626.5;1841.84;1841.84;636;673;491;673;636;673;1597;1656;697.67;773.33;1797;1886.67
2021;2x00013;L;3;1;SVT TREC5 ;753;312;798;355;914.33;555;634.67;1626.5;1626.5;1841.84;1841.84;312;334;312;798;312;334;1597;1656;355;369;1797;1886.67
2021;2x00014;L;1;1;SVT TREC5 - PARCOURS LAS ;863;360;526;464.67;668;443;566.34;526;718;668;914.5;526;526;360;526;526;526;526;526;668;668;668;668
2021;2x00013;L;1;1;SVT TREC7 ;754;367;649;413.33;744.33;508;578.83;1626.5;1626.5;1841.84;1841.84;367;367;367;649;367;367;1597;1656;413.33;413.33;1797;1886.67
2021;2x00013;L;2;1;SVT TREC7 ;754;491;673;559;773.33;582;666.17;1626.5;1626.5;1841.84;1841.84;491;491;491;673;491;491;1597;1656;559;559;1797;1886.67
2021;2x00013;L;3;1;SVT TREC7 ;754;312;798;355;914.33;555;634.67;1626.5;1626.5;1841.84;1841.84;739;798;312;798;739;798;1597;1656;824.67;914.33;1797;1886.67
2020;2291217;M;1;1;ADTO-Nouméa ;861;235;235;315;315;235;315;415;415;548;548;235;235;235;235;235;235;415;415;315;315;548;548
2020;2291217;M;2;1;ADTO-Nouméa ;861;180;180;233;233;180;233;415;415;548;548;180;180;180;180;180;180;415;415;233;233;548;548
2021;2291217;M;1;1;ADTO-Nouméa suite;862;365;365;452.5;452.5;365;452.5;580;580;723;723;365;365;365;365;365;365;580;580;452.5;452.5;723;723
2021;2291217;M;2;1;ADTO-Nouméa suite;862;215;215;270.5;270.5;215;270.5;580;580;723;723;215;215;215;215;215;215;580;580;270.5;270.5;723;723
2020;2220443;M;2;1;Droit Privé- ;832;244;244;341;341;244;341;244;244;341;341;244;244;244;244;244;244;244;244;341;341;341;341
2021;2220443;M;2;1;Droit Privé- suite;833;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
2020;2220444;M;2;1;Droit Public ;834;244;244;341;341;244;341;244;244;341;341;244;244;244;244;244;244;244;244;341;341;341;341
2021;2220444;M;2;1;Droit Public suite;835;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
2020;2220447;M;2;1;MAE FC-demi-année ;842;132;132;186;186;132;186;132;132;186;186;132;132;132;132;132;132;132;132;186;186;186;186
2021;2220447;M;2;1;MAE FC-demi-année suite;844;192;192;276;276;192;276;192;192;276;276;192;192;192;192;192;192;192;192;276;276;276;276
2021;2220445;M;1;1;MAE FI suite;843;276;276;378;378;276;378;528;528;756;756;276;276;276;276;276;276;528;528;378;378;756;756
2021;2220445;M;2;1;MAE FI suite;843;252;252;378;378;252;378;528;528;756;756;252;252;252;252;252;252;528;528;378;378;756;756
